ELEMENT|NAME OF EXCHANGE|EQUITY - KEY INDICATORS|COUNTRY|TIME|UNIT|VALUE in ACTUALS
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Bangladesh|04/2023|US dollar|43758290291
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|India|04/2023|Domestic Currency|2.70185E+14
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|India|04/2023|US dollar|3.30368E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Maldives|04/2023|Domestic Currency|30299902808
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Maldives|04/2023|US dollar|1979092280
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Pakistan|04/2023|Domestic Currency|6.13381E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Pakistan|04/2023|US dollar|21509612092
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Bangladesh|04/2023|Index|6262.69
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|India|04/2023|Index|17710.68
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Maldives|04/2023|Index|354.69
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Nepal|04/2023|Index|1934.48
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Pakistan|04/2023|Index|40375.83
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Bangladesh|03/2023|Domestic Currency|4.48839E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Bangladesh|03/2023|US dollar|44003829412
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|India|03/2023|Domestic Currency|2.56327E+14
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|India|03/2023|US dollar|3.11769E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Maldives|03/2023|Domestic Currency|28081938258
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Maldives|03/2023|US dollar|1824687346
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Nepal|03/2023|Domestic Currency|2.82368E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Nepal|03/2023|US dollar|21489189041
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Pakistan|03/2023|Domestic Currency|6.26486E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Pakistan|03/2023|US dollar|22267834555
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Bangladesh|03/2023|Index|6206.8
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|India|03/2023|Index|17225.64
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Maldives|03/2023|Index|328.73
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Nepal|03/2023|Index|1953.06
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Pakistan|03/2023|Index|40928.44364
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Bangladesh|02/2023|Domestic Currency|4.48059E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Bangladesh|02/2023|US dollar|44362285149
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|India|02/2023|Domestic Currency|2.55832E+14
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|India|02/2023|US dollar|3.09419E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Maldives|02/2023|Domestic Currency|26452685174
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Maldives|02/2023|US dollar|1717706830
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Nepal|02/2023|Domestic Currency|3.06196E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Nepal|02/2023|US dollar|23196682045
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Pakistan|02/2023|Domestic Currency|6.42969E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Pakistan|02/2023|US dollar|24083680014
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Bangladesh|02/2023|Index|6216.95
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|India|02/2023|Index|17739.22
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Maldives|02/2023|Index|309.66
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Nepal|02/2023|Index|2121.87
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Pakistan|02/2023|Index|41124.645
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Bangladesh|01/2023|Domestic Currency|4.5059E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Bangladesh|01/2023|US dollar|45058972000
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|India|01/2023|Domestic Currency|2.68024E+14
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|India|01/2023|US dollar|3.27903E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Maldives|01/2023|Domestic Currency|27041740062
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Maldives|01/2023|US dollar|1755957147
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Nepal|01/2023|Domestic Currency|3.10316E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Nepal|01/2023|US dollar|23846591485
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Pakistan|01/2023|Domestic Currency|6.36163E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Pakistan|01/2023|US dollar|27046732021
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Bangladesh|01/2023|Index|6267.05
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|India|01/2023|Index|17968.75
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Maldives|01/2023|Index|316.55
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Nepal|01/2023|Index|2149.39
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Pakistan|01/2023|Index|40005.50182
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Bangladesh|12/2022|Domestic Currency|4.47173E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Bangladesh|12/2022|US dollar|45168987879
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|India|12/2022|Domestic Currency|2.80193E+14
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|India|12/2022|US dollar|3.38454E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Maldives|12/2022|Domestic Currency|26081551557
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Maldives|12/2022|US dollar|1693607244
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Nepal|12/2022|Domestic Currency|2.72111E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Nepal|12/2022|US dollar|20623860922
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Pakistan|12/2022|Domestic Currency|6.52377E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Pakistan|12/2022|US dollar|28996060689
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Bangladesh|12/2022|Index|6206.81
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|India|12/2022|Index|18385.13
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Maldives|12/2022|Index|305.31
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Nepal|12/2022|Index|1882.61
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Stock Market Index|Pakistan|12/2022|Index|40881.73273
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Bangladesh|11/2022|Domestic Currency|4.46677E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Bangladesh|11/2022|US dollar|45579269388
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|India|11/2022|Domestic Currency|2.8643E+14
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|India|11/2022|US dollar|3.5103E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Maldives|11/2022|Domestic Currency|26632193360
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Maldives|11/2022|US dollar|1732738670
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Nepal|11/2022|Domestic Currency|2.74924E+12
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Nepal|11/2022|US dollar|21187082306
Equity Market Monthly-(EQTY_MRKT_SC)|National Stock Exchange|Market Capitalization|Pakistan|11/2022|Domestic Currency|6.80851E+12
